Q,テーマ,設問,選択肢1,選択肢2,選択肢3,選択肢4,正答,根拠となる知識,引用文献
Q11,"診断と評価","問11. 心肺運動負荷試験（CPET）において、Fontan術後患者の不良な転帰（死亡または移植）を予測する経時的な変化として報告されているものはどれですか。","1. V•E/V•CO2 slopeの増加","2. peak V·O2の低下","3. 安静時心拍数の増加","4. 心拍数予備能（HRR）の増加",2,"Fontan術後では、経時的なpeak V·O2低下が死亡や移植などの不良転帰と関連する。",""
Q12,"診断と評価","問12. 経食道心エコー（TEE）の適応（表11）として挙げられている疾患・状態のうち、TEEが心エコー図診断の中心となり、その適応が推奨されるものはどれですか。","1. 弁逆流や弁狭窄の詳細な評価","2. 左房内血栓の評価","3. 心房中隔欠損の診断（静脈洞型、冠静脈洞型を含む）","4. 大動脈の狭窄、拡大、解離の評価",3,"静脈洞型・冠静脈洞型ASDなどの診断ではTEEが中心的役割を担い、適応が推奨される。",""
Q13,"診断と評価","問13. チアノーゼ型先天性心疾患の血液学的異常の管理・治療指針において、鉄欠乏状態の是正を行う際のフェリチンとトランスフェリン飽和度の基準はどれですか。","1. フェリチン ≤10 μg/dL、トランスフェリン飽和度 ≤10%","2. フェリチン ≤15 μg/dL、トランスフェリン飽和度 ≤15%","3. フェリチン ≤20 μg/dL、トランスフェリン飽和度 ≤20%","4. フェリチン ≤30 μg/dL、トランスフェリン飽和度 ≤30%",2,"チアノーゼ型先天性心疾患では、フェリチン≤15 μg/dLかつTSAT≤15％を鉄欠乏是正の指標としている。",""
Q14,"診断と評価","問14. Fontan関連肝疾患（FALD）の診断項目（表37）のうち、進行したFALD（advanced FALD）と診断される項目に含まれないものはどれですか。","1. アルブミン低下","2. 肝静脈波形の平坦化","3. 肝腫大","4. 門脈体循環シャント",3,"進行したFALDの診断項目にはアルブミン低下、肝静脈波形の平坦化、門脈体循環シャントなどが含まれるが、単なる肝腫大は含まれない。",""
Q15,"診断と評価","問15. 心臓MRI（CMR）において、シャント遺残や逆流など流量が問題となる疾患に推奨される評価法はどれですか。","1. 遅延ガドリニウム造影（LGE）","2. T1マッピング","3. 二次元位相差コントラスト法（2D-PC）","4. MR angiography（MRA）",3,"シャント量や逆流量の定量には、2D位相差コントラスト法（2D-PC）が推奨される。",""
Q16,"診断と評価","問16. 経胸壁心エコー（TTE）による短絡量の評価において、肺体血流比（Qp/Qs）を算出する際に、血流が層流であることが前提であり、この方法を用いることができないケースとして最も適切なものはどれですか。","1. 心房中隔欠損症（ASD）","2. 動脈管開存症（PDA）","3. 右室流出路狭窄を伴う心室中隔欠損症（VSD）","4. 膜様部VSD",4,"Qp/Qs算出には層流が前提であり、ジェットが乱流となりやすい膜様部VSDでは適用できない。",""
Q17,"診断と評価","問17. 大動脈縮窄術後遠隔期における管理で、安静時に正常血圧であっても考慮すべき血圧測定法はどれですか。","1. 運動負荷試験","2. 24時間自由行動下血圧測定","3. AとBの両方","4. 自宅での朝晩の血圧測定のみ",3,"CoA術後では運動負荷時高血圧や夜間高血圧が問題となるため、運動負荷試験と24時間血圧測定の併用が推奨される。",""
Q18,"診断と評価","問18. 心臓カテーテル検査の適応（推奨表2）に関する推奨クラスとエビデンスレベルの組み合わせとして最も適切なものはどれですか。","1. 中等度以上の複雑型先天性心疾患に対するカテーテル検査は、ACHDに精通した医師とともに実施する。（I, C）","2. 肺高血圧の評価（病型、短絡率、PVR）は、非侵襲的検査で十分な情報が得られない場合に考慮される。（IIa, B）","3. Fontan循環後の肺動脈圧評価は、非侵襲的検査が不十分な場合に限り行う。（IIa, C）","4. 40歳未満のVT症例において、ルーチンで冠動脈造影を行う。（I, C）",1,"複雑型先天性心疾患のカテーテル検査はACHD専門医と行うべきとされ、推奨I, Cが付与されている。",""
Q19,"診断と評価","問19. 卵円孔開存（PFO）をコントラストエコーで確定診断する際に、経食道心エコー（TEE）で右左短絡を確認できるタイミングとして最も適切なものはどれですか。","1. Valsalva負荷の実施中","2. Valsalva負荷の解除時","3. Valsalva負荷の解除後3心拍以内","4. 安静時（非バルサルバ負荷下）",3,"PFO診断ではValsalva解除後3心拍以内の右左短絡の出現が典型的所見とされる。",""
Q20,"診断と評価","問20. 成人期の修正大血管転位（ccTGA）の心電図において、特徴的所見として、QRS軸の左軸偏位とV1のQSパターンのほかに認められるものはどれですか。","1. V1のqRパターン","2. V1のR波増高","3. 左側胸部誘導でのq波の消失","4. 右側胸部誘導での深いQ波",3,"ccTGAでは左側胸部誘導で通常みられるq波が消失する特徴的心電図所見を呈する。",""
Q21,"治療（薬物・介入）","問21. 成人先天性心疾患患者の徐脈性不整脈の原因として、最も一般的なものはどれですか。","1. 多脾症による先天的な刺激伝導系の欠損","2. 修正大血管転位（ccTGA）による二重房室結節の機能不全","3. 外科的修復術の際の刺激伝導系への外傷性損傷","4. 心房中隔欠損（ASD）による洞不全症候群",3,"成人先天性心疾患の徐脈性不整脈は、多くが過去の外科手術による刺激伝導系損傷に起因する。",""
Q22,"治療（薬物・介入）","問22. Fontan術後の血栓症予防に関して、ワルファリンと比較してDOAC（直接作用型経口抗凝固薬）の投与に注意が必要とされる理由として報告されているものはどれですか。","1. 腎機能障害例での出血イベントの増加","2. DOACでの出血・主要有害心血管イベントの高い発生率が報告されている","3. AとBの両方","4. DOACがワルファリンに比べて著しく血栓予防効果が低い",3,"Fontan術後でのDOAC使用では出血や主要有害心血管イベントが多いとの報告があり、腎機能などに注意が必要である。",""
Q23,"治療（薬物・介入）","問23. 大動脈スイッチ術後の遠隔期合併症のうち、右室流出路狭窄に対するカテーテルインターベンション（経皮的バルーン拡大術など）が再手術よりも優先されるとされる狭窄部位はどこですか。","1. 肺動脈弁","2. 弁下部","3. 左右肺動脈","4. 弁上部",3,"大動脈スイッチ術後の左右肺動脈狭窄では、再手術に先立ちカテーテルによる拡大術が優先される。",""
Q24,"治療（薬物・介入）","問24. Fontan術後、蛋白漏出性胃腸症（PLE）の治療として、CVP上昇要因の排除のために行われる治療のうち、「カテーテル、外科治療を行う」と推奨クラスIで示されているのはどの病態の治療ですか。","1. Fontanルート狭窄","2. 大動脈肺動脈副側血行路","3. 肺動静脈瘻（PAVF）","4. 心室機能不全",1,"PLEの治療では、Fontanルート狭窄に対するカテーテル・外科治療がクラスIで推奨されている。",""
Q25,"治療（薬物・介入）","問25. 心房細動患者の脳梗塞リスク評価のためのCHADS2スコアにおいて、最も点数が高い因子はどれですか。","1. 高血圧（H）","2. 年齢（A, 75歳以上）","3. 糖尿病（D）","4. 脳卒中/一過性脳虚血発作の既往（S2）",4,"CHADS2スコアでは脳卒中/TIAの既往が2点と最も高く設定されている。",""
Q26,"治療（薬物・介入）","問26. 成人先天性心疾患におけるHFrEF（体心室右室機能低下を含む）に対する標準的薬物療法（4剤）として、一般の後天性心疾患の知見を参考に、長期投与が推奨されている薬物はどれですか。","1. アンジオテンシン受容体ネプリライシン阻害薬（ARNI）","2. Ifチャネル阻害薬/HCN4阻害薬","3. ミネラルコルチコイド受容体拮抗薬（MRA）","4. SGLT2阻害薬",2,"成人先天性心疾患のHFrEFにおいても、Ifチャネル阻害薬は一般HFrEFのエビデンスを参考に長期投与が推奨される。",""
Q27,"治療（薬物・介入）","問27. Ebstein病の術後遠隔期における侵襲的治療の推奨（推奨表16）として、有症状または運動耐容能低下、チアノーゼ、奇異性塞栓の既往、進行性の右室拡大または収縮能低下を示す症例に対して行うべきとされる術式はどれですか。","1. Carpentier法","2. 弁置換術","3. cone手術","4. A、B、Cのうちいずれか",4,"Ebstein病では症候や右室リモデリング進行例に対し、施設の経験に応じてCarpentier法、cone手術、弁置換のいずれかが推奨される。",""
Q28,"治療（薬物・介入）","問28. 右室流出路狭窄に対する侵襲的治療適応（推奨表14）として、外科的弁置換術が唯一の侵襲的治療法である場合に、自覚症状を伴わなくても行うべき他覚所見（一つ以上）として推奨クラスIで挙げられているものはどれですか。","1. 右室機能低下","2. 軽度心房中隔または心室中隔レベルでの右左シャント","3. 推定右室圧 50 mmHg以上","4. 右室流出路の圧較差 36 mmHg以上",1,"右室流出路狭窄で他の侵襲的治療がない場合、右室機能低下を認めれば無症状でも弁置換術がクラスI適応となる。",""
Q29,"治療（薬物・介入）","問29. 動脈管開存症（PDA）の閉鎖術適応（推奨表13）として、「左右短絡優位だが、PVR上昇を伴う肺高血圧症例」に対して閉鎖を考慮してもよいとされる、PVRのWood単位（WU）の基準はどれですか。","1. PVR 3～5 WU","2. PVR > 5 WU","3. PVR > 7 WU","4. PVR > 10 WU",2,"左右短絡優位でPVRが5 WUを超える症例について、PDA閉鎖を慎重に考慮してよいとされる。",""
Q30,"治療（薬物・介入）","問30. 成人期にASD閉鎖術を実施する場合、左室への流入血流量増加に伴う肺うっ血や左心不全を惹起する可能性があるため、特に高齢者で注意深く薬物治療を行うべき心機能の状態はどれですか。","1. 左室駆出率（LVEF）の低下","2. 右室駆出率（RVEF）の低下","3. 左室拡張障害","4. 肺高血圧（PH）の合併",3,"高齢ASDでは左室拡張障害を伴うことが多く、閉鎖後の急激な左室負荷増大で肺うっ血をきたしやすい。",""
Q31,"治療（薬物・介入）","問31. カテーテルアブレーション（CA）が困難な場合の心房細動（AF）再発予防の薬物治療について、心機能低下のない単純型先天性心疾患で検討されるVaughan Williams分類群薬はどれですか。","1. I群薬","2. II群薬","3. III群薬","4. IV群薬",1,"心機能低下のない単純型先天性心疾患のAFでは、I群抗不整脈薬が再発予防薬として検討される。",""
Q32,"治療（薬物・介入）","問32. 潜因性脳梗塞に対する経皮的卵円孔開存閉鎖術の適応（表34）において、「推奨基準」とされる解剖学的に高リスクのPFOの特徴として、適切でないものはどれですか。","1. シャント量が多い","2. 心房中隔瘤（ASA）の合併","3. 長いトンネルを有する卵円孔開存","4. 閉塞性肥大型心筋症の合併",4,"PFO閉鎖の解剖学的高リスク因子は大量シャント、ASA合併、長いトンネルであり、HOCM合併は含まれない。",""
Q33,"治療（薬物・介入）","問33. ASDのカテーテル閉鎖術が第一選択となる二次孔欠損型ASDの欠損周囲縁の基準として、原則として必要とされる長さはどれですか。（前縁を除く）","1. 3 mm以上","2. 5 mm以上","3. 7 mm以上","4. 10 mm以上",2,"二次孔型ASDの経皮閉鎖では、前縁以外でおおむね5 mm以上の周囲縁が必要条件とされる。",""
Q34,"治療（薬物・介入）","問34. TOF術後遠隔期における肺動脈弁置換術の適応判断において、無症候性で中等度以上の右室拡張を認める例に対して「考慮する（IIa, B）」とされる右室拡張末期容量指数（RVEDV index）の基準はどれですか。（2023年多施設共同研究に基づく）","1. RVEDV index > 150 mL/m^2","2. RVEDV index > 160 mL/m^2","3. RVEDV index > 175 mL/m^2","4. RVEDV index > 185 mL/m^2",2,"最新の多施設研究を踏まえ、RVEDV index >160 mL/m^2で無症候例にも弁置換術を考慮するIIa推奨となっている。",""
Q35,"治療（薬物・介入）","問35. 完全大血管転位（TGA）心房位血流転換術後において、バッフルリークによる左右シャントによって心室容量負荷が大きな場合の閉鎖治療の推奨クラスとエビデンスレベルはどれですか。","1. I, C","2. IIa, C","3. IIb, B","4. IIb, C",4,"バッフルリークによる容量負荷が大きい場合の閉鎖はIIb, Cで考慮されると記載されている。",""
Q36,"特殊な病態・管理","問36. 妊娠リスク分類（modified WHO分類）において、妊娠が禁忌とされるクラスIVに該当する病態はどれですか。","1. 体心室右室","2. Fontan術後（良好な状態）","3. 肺動脈性高肺血圧症（PH）","4. 大動脈二尖弁（大動脈拡張 45 mm ～ 50 mm）",3,"修飾WHO分類ではPAHは妊娠禁忌のクラスIVに分類される。",""
Q37,"特殊な病態・管理","問37. 成人期に達した未修復のチアノーゼ型心疾患患者の管理で、低酸素血症と腫瘍の発生との関連が示唆されている腫瘍はどれですか。","1. 肝細胞癌","2. 褐色細胞腫/パラガングリオーマ","3. 肺腺癌","4. 血管腫",2,"低酸素血症と褐色細胞腫/パラガングリオーマ発生との関連が報告されており、チアノーゼ例で注意が必要とされる。",""
Q38,"特殊な病態・管理","問38. Fontan術後の肝細胞癌（HCC）サーベイランスを開始すべき時期の目安として推奨されているのはいつからですか。","1. Fontan型手術の5年後","2. Fontan型手術の10年後","3. Fontan型手術の15年後","4. 肝硬変が進行し非代償性肝不全が診断された時点",2,"Fontan術後10年以降でFALD進行やHCC発生リスクが増大するため、この時期からサーベイランスを推奨している。",""
Q39,"特殊な病態・管理","問39. 大動脈スイッチ術後、移植冠動脈の狭窄による虚血を認める患者に対する冠動脈インターベンション・手術の推奨クラスとエビデンスレベルはどれですか。","1. I, C","2. I, B","3. IIa, C","4. IIa, B",1,"虚血所見を伴う移植冠動脈狭窄に対する治療はI, Cとして推奨されている。",""
Q40,"特殊な病態・管理","問40. 先天性心疾患に合併する肺高血圧（PH）の分類（表16）において、シャント修復術後長期経過後に顕在化（発症）したPAHは、どの群のどのサブタイプに分類されますか。","1. 第1群（PAH）— シャント未修復","2. 第1群（PAH）— シャント修復術後","3. 第2群（左心系疾患に伴うPH）","4. 第5群（原因がはっきりしていないPH）",2,"シャント修復術後長期経過後に発症するPAHは、第1群PAHの「シャント修復術後」に分類される。",""
Q41,"特殊な病態・管理","問41. 卵管結紮などの永久不妊術を除く避妊法のうち、血栓リスクを高めない点から、エストロゲンを用いた避妊法に比べて安全とされる薬物による避妊法はどれですか。","1. 低用量エストロゲン含有避妊薬","2. プロゲストーゲン単剤避妊薬","3. プロゲステロン徐放性子宮内避妊システム","4. AとBの両方",2,"エストロゲンを含まないプロゲストーゲン単剤避妊薬は、血栓リスクの観点からより安全とされる。",""
Q42,"特殊な病態・管理","問42. Fontan術後患者における血栓予防薬として、血栓形成リスク因子（血栓存在、高CVP、低CO、SVT既往など）がある場合に考慮される薬剤群はどれですか。","1. ワルファリン","2. DOAC","3. アスピリン","4. Dipyridamole",2,"Fontan術後で血栓リスクが高い場合、ワルファリンに加えDOACも候補薬剤として考慮されると記載されている。",""
Q43,"特殊な病態・管理","問43. 身体障害者手帳の心機能障害の等級として、定められていない等級はどれですか。","1. 1級","2. 2級","3. 3級","4. 4級",2,"心機能障害の身体障害者手帳等級には1級・3級・4級があり、2級は存在しない。",""
Q44,"特殊な病態・管理","問44. 成人先天性心疾患の遺伝的要因について、最も多くの割合を占め、複数の遺伝的要因と環境的要因の相互作用によると考えられているものはどれですか。","1. 染色体異常","2. 単一遺伝子病","3. 環境的要因","4. 多因子遺伝",4,"先天性心疾患の多数は多因子遺伝と考えられ、遺伝要因と環境要因の相互作用が関与する。",""
Q45,"特殊な病態・管理","問45. 妊娠を希望する先天性心疾患を有する女性に対するカウンセリング（プレコンセプションケア）は、個々の成熟度にもよりますが、いつ頃から開始することが好ましいとされていますか。","1. 妊娠を意識した時点","2. 挙児を望む直前","3. 十代から","4. 20歳以降",3,"ガイドラインでは、先天性心疾患患者の妊孕性や妊娠リスクについて十代からの早期カウンセリングが望ましいとされる。",""
Q46,"疾患別詳細管理","問46. Fallot四徴（TOF）の術後遠隔期管理において、QRS幅がVT・突然死の高リスク因子として示唆される基準はどれですか。","1. 120ミリ秒以上","2. 140ミリ秒以上","3. 160ミリ秒以上","4. 180ミリ秒以上",4,"TOF術後ではQRS幅180 ms以上が心室頻拍・突然死リスク増大と関連する指標として示されている。",""
Q47,"疾患別詳細管理","問47. 孤立性肺動脈弁狭窄（PS）に対する治療で、異形成弁ではない場合に推奨クラスIで推奨されるカテーテルインターベンションはどれですか。","1. バルーン肺動脈弁拡大術","2. ステント留置術","3. 弁付き導管留置術","4. カテーテルアブレーション",1,"孤立性PS（異形成弁でない）の第一選択は、バルーン肺動脈弁拡大術でありクラスIで推奨される。",""
Q48,"疾患別詳細管理","問48. 大動脈二尖弁（BAV）の患者で、大動脈弁狭窄または閉鎖不全の外科手術適応がある場合に、大動脈弁逆流（AR）がある場合の外科手術考慮基準とされる上行大動脈径はどれですか。","1. ≥40 mm","2. ≥45 mm","3. ≥50 mm","4. ≥55 mm",2,"BAVでARを伴う場合、上行大動脈径45 mm以上で大動脈手術の併施を考慮することが推奨される。",""
Q49,"疾患別詳細管理","問49. 心外導管手術（PAVSD、PTA、DORVなど）術後の遠隔期死亡のリスク因子として挙げられている項目として、適切でないものはどれですか。","1. 男性であること","2. 手術時年齢が高いこと","3. 右室圧の高値","4. 体肺動脈短絡術を行っていない症例であること",4,"遠隔期死亡リスクとして男性、手術時高年齢、右室圧高値などが挙げられるが、体肺動脈短絡術未施行はリスク因子として示されていない。",""
Q50,"疾患別詳細管理","問50. 大動脈縮窄症（CoA）術後の高血圧管理について、有意な遺残狭窄病変を伴う症例で、狭窄部末梢の血圧低下をきたすリスクに注意し、使用を控えるべきとされている降圧薬はどれですか。","1. ACE阻害薬","2. カルシウムチャネル拮抗薬","3. サイアザイド系利尿薬","4. β遮断薬",1,"有意な遺残狭窄を伴うCoA術後では、ACE阻害薬により狭窄末梢の灌流低下を悪化させる可能性があり、使用を控えるべきとされる。",""
