Q,テーマ,設問,選択肢1,選択肢2,選択肢3,選択肢4,正答,根拠となる知識,引用文献
Q21,"定義とステージ分類・診断基準","問21. 心不全のステージB（前心不全）の診断基準において、構造的心疾患がない状態で、心不全の危険因子を有する場合、心内圧上昇の目安となる、心エコー検査における三尖弁逆流最大速度（TRV）のカットオフ値はどれか?","1. $2.0 \text{ m/s}$以上","2. $2.5 \text{ m/s}$以上","3. $2.8 \text{ m/s}$以上","4. $3.2 \text{ m/s}$以上",3,"ステージBの心内圧上昇の目安として、三尖弁逆流最大速度が $2.8 \text{ m/s}$以上が挙げられている。",""
Q22,"定義とステージ分類・診断基準","問22. 心不全のステージ分類において、LVEFが40％以下から10％以上増加し、かつLVEFが40％を超えた心不全を何と定義するか?","1. LVEFの回復した心不全（HFrecEF）","2. LVEFの改善した心不全（HFimpEF）","3. LVEFの正常化した心不全（HFnormEF）","4. LVEFの軽度低下した心不全（HFmrEF）",2,"初回LVEFが40％以下かつ、経過でLVEFが10%以上増加し、40%を超えた心不全をHFimpEFと定義する。",""
Q23,"定義とステージ分類・診断基準","問23. 症候性心不全患者における体うっ血の身体所見のうち、右房圧の上昇を強く示唆する所見として、特異度が高いとされているものはどれか?","1. 肺ラ音","2. 頸静脈怒張","3. 遠心性左室肥大","4. 下腿浮腫",2,"身体所見のうち、頸静脈怒張は体うっ血および右房圧上昇の評価に有用であり特異度が高い。",""
Q24,"定義とステージ分類・診断基準","問24. 心不全診断のためのリスクスコアのうち、HFpEFの検査前確率を評価するために使用でき、年齢、BMI、降圧剤数、心房細動の有無、E/e'比、推定収縮期肺動脈圧によって点数づけされるスコアはどれか?","1. Seattle Heart Failure Model (SHFM)","2. H2FPEFスコア","3. MAGGICスコア","4. MADIT-ICD Benefit Score",2,"H2FPEFスコアはHFpEFの検査前確率を評価するために用いられるリスクスコアである。",""
Q25,"診断・画像検査・侵襲的検査","問25. 心臓MRIにおける遅延造影（LGE）の所見について、虚血性心疾患と非虚血性心筋症を鑑別する際に用いられる特徴として正しいものはどれか?","1. 虚血性心疾患のLGEはmid-wallを中心に認められる。","2. 虚血性心疾患のLGEは心内膜側を中心とする。","3. 肥大型心筋症のLGEは心外膜側を中心に認められる。","4. 拡張型心筋症のLGEは心内膜側を中心に認められる。",2,"虚血性心疾患によるLGEは、責任冠動脈支配領域に一致し、心内膜側を中心とする特徴的なパターンを示す。",""
Q26,"診断・画像検査・侵襲的検査","問26. 心アミロイドーシスを示唆する心エコー指標として、感度や特異度が高いとされる、左室長軸方向ストレイン（GLS）のパターンの特徴はどれか?","1. GLSが心内膜側でより低下する。","2. GLSが心尖部で最も低下する（Apical thickening）。","3. GLSが心外膜側でより低下する。","4. GLSが左室基部で最も低下する（Apical sparing）。",4,"心アミロイドーシスを示唆する指標として、Apical sparing（心尖部のストレインが保たれ、基部で低下する）パターンが挙げられる。",""
Q27,"診断・画像検査・侵襲的検査","問27. 慢性期の心不全患者に対するルーチンの右心カテーテル検査の実施について、ガイドラインの推奨クラスとエビデンスレベルとして最も適切なものはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル C-EO","3. 推奨クラス IIb、エビデンスレベル B-R","4. 推奨クラス III No benefit、エビデンスレベル B-R",4,"ルーチンの右心カテーテル検査はESCAPE試験などに基づき、慢性心不全においては予後改善効果が示されず、推奨クラスIII No benefit、エビデンスレベルB-Rとされる。",""
Q28,"診断・画像検査・侵襲的検査","問28. 収縮性心膜炎を診断するために右心カテーテル検査が行われる場合、診断を強く示唆する血行動態の特徴的な所見は、左室拡張終期圧（LVEDP）と右室拡張終期圧（RVEDP）の差がどうなることか?","1. LVEDP - RVEDP > 10 mmHg","2. LVEDP - RVEDP > 5 mmHg","3. LVEDP - RVEDP ≤ 5 mmHg","4. LVEDP × RVEDP > 100 mmHg",3,"収縮性心膜炎では心室間相互作用によりLVEDPとRVEDPがほぼ等しくなり、その差が5 mmHg以下となる所見が特徴的である。",""
Q29,"薬物治療の適応","問29. 虚血性心疾患を背景とする心不全患者（HFrEF）を対象とした大規模臨床試験（CORONA試験、GISSI-HF試験）の結果に基づき、心不全患者の予後改善を目的としたスタチン製剤の投与に関する推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス III No benefit、エビデンスレベル A","4. 推奨クラス III Harm、エビデンスレベル C-EO",3,"CORONA、GISSI-HF試験ではHFrEF患者に対するスタチンの明確な予後改善効果は示されず、予後改善目的でのルーチン使用は推奨クラスIII No benefit、エビデンスレベルAとされる。",""
Q30,"薬物治療の適応","問30. HFrEF患者の治療において、心不全悪化による死亡または心不全入院の抑制を目的にジゴキシンの投与を考慮する場合、血中濃度をどの範囲に調整することが推奨されているか?","1. 0.1 〜 0.4 ng/ml","2. 0.5 〜 0.9 ng/ml","3. 1.0 〜 1.5 ng/ml","4. 1.6 〜 2.0 ng/ml",2,"ジゴキシンは血中濃度0.5〜0.9 ng/mlの範囲で心不全増悪による入院抑制効果が得られ、死亡率増加も認められないとされ、この範囲が推奨される。",""
Q31,"薬物治療の適応","問31. 症候性のLVEFが正常以下のHFpEF患者に対して、心血管死または心不全増悪イベントの抑制を目的として、MRA（フィネレノン）を投与する場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス IIb、エビデンスレベル B-R","4. 推奨クラス III No benefit、エビデンスレベル A",2,"非ステロイド型MRAであるフィネレノンは、LVEF ≥40%の症候性心不全患者で心血管死または心不全増悪イベントを抑制し、推奨クラスIIa、エビデンスレベルB-Rとされる。",""
Q32,"薬物治療の適応","問32. 高血圧を合併したHFrEF患者に対する降圧治療の目標値について、心不全の予後改善の観点から推奨されている管理目標の目安はどれか?","1. 収縮期血圧 140 mmHg未満","2. 収縮期血圧 135 mmHg未満","3. 収縮期血圧 130 mmHg未満","4. 個々の患者の病態に応じた適切な降圧治療が推奨されるため、一定の目標値は確立していない。",4,"HFrEFにおける明確な降圧目標値は確立しておらず、心不全治療薬としての意義を優先しつつ、個々の病態に応じた降圧管理が推奨される。",""
Q33,"薬物治療の適応","問33. 心不全患者で高頻度に認められる併存症である高尿酸血症（血清尿酸値 ≥ 7.0 mg/dL）に対し、心不全の予後改善を目的に薬物治療（尿酸降下薬）を行うことに関する推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル B-R","2. 推奨クラス IIa、エビデンスレベル C-LD","3. 推奨クラス IIb、エビデンスレベル C-LD","4. 推奨クラス III No benefit、エビデンスレベル B-R",4,"尿酸降下薬が心不全予後を改善する明確なエビデンスはなく、無作為化比較試験に基づき予後改善目的の使用は推奨クラスIII No benefit、B-Rとされる。",""
Q34,"薬物治療の適応","問34. 心不全を合併した2型糖尿病患者に対するSGLT2阻害薬の投与開始について、腎機能の低下がどの程度のeGFRカットオフ値まで有益性を示す報告が認められているか?","1. eGFR ≥ 30 mL/分/1.73m^2","2. eGFR ≥ 20 mL/分/1.73m^2","3. eGFR ≥ 15 mL/分/1.73m^2","4. eGFR ≥ 10 mL/分/1.73m^2",2,"SGLT2阻害薬のRCTでは、eGFR 20 mL/分/1.73m^2以上の患者で有益性が示されており、この値が投与の下限の目安とされる。",""
Q35,"特殊病態・デバイス治療","問35. 閉塞性肥大型心筋症（HOCM）の治療において、症状の改善を目的にマバカムテンを投与する場合、作用機序として正しいものはどれか?","1. βアドレナリン受容体を遮断し、心筋酸素消費量を減少させる。","2. 心筋細胞内のカルシウム流入を抑制し、弛緩を促進する。","3. サルコメアを構成するTTRタンパク質の四量体を安定化させる。","4. 心筋ミオシンに対する選択的かつ可逆的なアロステリック阻害薬として、アクチンとミオシンの架橋形成を抑制する。",4,"マバカムテンは心筋ミオシン阻害薬であり、アクチンとミオシンの架橋形成を抑制することで左室流出路圧較差を軽減し、HOCMの症状を改善する。",""
Q36,"特殊病態・デバイス治療","問36. 心臓サルコイドーシス患者におけるICDの一次予防の適応として、GDMTが3ヵ月以上適切に実施され、35% < LVEF < 50%の場合に、ICD植込みを考慮する根拠となる画像診断の所見はどれか?","1. 心エコーによる壁運動異常","2. 18F-FDG-PETによる心筋の活動性炎症","3. 心臓MRIにおける広範囲の遅延造影","4. 冠動脈CTによる冠動脈狭窄",3,"心臓サルコイドーシスで35% < LVEF < 50%の場合、心臓MRIで広範囲の遅延造影を認めるとICD一次予防植込みが推奨クラスIIa、エビデンスレベルB-NRで考慮される。",""
Q37,"特殊病態・デバイス治療","問37. 心不全治療薬のうち、催奇形性リスクにより妊娠中は使用を控えるべきとされている薬物はどれか?","1. ループ利尿薬","2. ジゴキシン","3. β遮断薬","4. ACE阻害薬/ARB/ARNI",4,"ACE阻害薬、ARB、ARNIは催奇形性のリスクがあり、妊娠中は禁忌であり中止が必要とされる。",""
Q38,"特殊病態・デバイス治療","問38. 心不全患者に対する包括的心臓リハビリテーションの効果を検証した大規模無作為化比較試験（HF-ACTION研究）の主要評価項目の結果はどのようなものであったか?","1. 運動療法群は通常ケア群と比較して、全死亡と心不全再入院の複合イベントを有意に減少させた。","2. 運動療法群は通常ケア群と比較して、全死亡を有意に減少させた。","3. 運動療法群は通常ケア群と比較して、一次エンドポイントの生命予後改善効果は示されなかった。","4. 運動療法群は、HFpEF患者の運動耐容能を有意に改善したが、HFrEF患者には効果がなかった。",3,"HF-ACTION研究では、運動療法は一次エンドポイント（全死亡＋入院）に対する有意な改善を示さず、生命予後改善効果は明確には示されなかった。",""
Q39,"特殊病態・デバイス治療","問39. 治療抵抗性心不全（ステージD）の定義において、「年に2回以上の心不全入院がある」のほか、心臓移植実施施設や植込型VAD実施施設への紹介を検討する基準として提唱されているI-NEED-HELPの簡易版に含まれる主要な4つの基準のうち、BNPに関する具体的なカットオフ値はどれか?","1. BNP 400 pg/mL以上","2. BNP 740 pg/mL以上","3. BNP 900 pg/mL以上","4. BNP 1500 pg/mL以上",2,"I-NEED-HELP簡易版基準では、持続的なBNP高値として740 pg/mL超が紹介を検討する指標の1つとされている。",""
Q40,"急性心不全と移行期管理","問40. 急性非代償性心不全（ADHF）で入院した患者の退院後の移行期管理において、心不全再入院のリスクを低下させるために、退院後何日以内に外来診察を行い、うっ血の評価と心不全治療の最適化を考慮することが推奨されているか?","1. 退院後 3日以内","2. 退院後 7日以内","3. 退院後 14日以内","4. 退院後 30日以内",3,"心不全再入院のリスク低下のため、退院後14日以内の早期外来受診によりうっ血の評価と治療の最適化を行うことが推奨される（IIa, B-NR）。",""
Q41,"急性心不全と移行期管理","問41. 心原性ショック（CS）患者に対する一時的機械的補助循環（MCS）の初期治療において、ルーチンでの使用が推奨されないデバイスはどれか?","1. V-A ECMO（経皮的心肺補助）","2. Impella（循環補助用心内留置型ポンプカテーテル）","3. IABP（大動脈内バルーンパンピング）","4. 体外設置型VAD",3,"急性心筋梗塞に伴うCS患者に対するIABPの有効性はIABP-SHOCK II試験で認められず、ルーチン使用は推奨されない。",""
Q42,"急性心不全と移行期管理","問42. 急性非代償性心不全（ADHF）患者に対する利尿薬治療戦略において、ループ利尿薬静注の初回投与に反応が不十分だった場合、増量するループ利尿薬の投与量として最大でどの程度まで増量が検討されるか?","1. 初回投与量の 1 〜 2倍","2. 初回投与量の 2 〜 4倍","3. 初回投与量の 4 〜 6倍","4. 制限はない",2,"ループ利尿薬静注に対する反応が不十分な場合、初回投与量の2〜4倍まで増量することが検討される。",""
Q43,"急性心不全と移行期管理","問43. 急性心不全の病態分類において、血圧は低下しているが、組織灌流はまだ保たれている「pre-shock」段階を、SCAIショック分類のどのステージとして定義しているか?","1. ステージA (At risk)","2. ステージB (Beginning)","3. ステージC (Classic)","4. ステージD (Deteriorating/doom)",2,"SCAIショック分類では、血圧低下を認めるが組織灌流は保たれている段階をステージB（Beginning）として定義している。",""
Q44,"疾病管理・フレイル・併存症","問44. 心不全患者に合併する抑うつ（depression）や不安（anxiety）に対する治療において、心不全の悪化や不整脈を引き起こす可能性があるため、投与を避けるべきとされている抗うつ薬はどれか?","1. 選択的セロトニン再取り込み阻害薬（SSRI）","2. セロトニン・ノルアドレナリン再取り込み阻害薬（SNRI）","3. 三環系抗うつ薬","4. ノルアドレナリン・特異的セロトニン作動性抗うつ薬（NaSSA）",3,"三環系抗うつ薬は低血圧、心不全悪化、不整脈を引き起こす可能性があり、心不全患者では原則避けるべき薬剤とされる。",""
Q45,"疾病管理・フレイル・併存症","問45. フレイルを合併した心不全患者に対するSGLT2阻害薬（ダパグリフロジン）の投与に関して、フレイル指標（Frailty index ≥ 0.311）を有する患者群における心不全入院リスクに対する効果は、非フレイル群と比較してどのような傾向が報告されているか?","1. 有害事象リスクが高いため、投与すべきでない。","2. 非フレイル群に比べ、心不全入院抑制効果は有意に低かった。","3. 心血管死リスクが増加したが、心不全入院リスクは変化しなかった。","4. 心不全入院抑制効果が非フレイル群と同程度か、あるいはより高い傾向が示唆された。",4,"DAPA-HF/DELIVERのサブ解析では、フレイル合併心不全患者（FI ≥ 0.311）においても、心不全入院抑制効果は非フレイル群と同程度か、むしろ高い傾向が示唆された。",""
Q46,"疾病管理・フレイル・併存症","問46. 心不全患者の栄養評価において、低栄養診断基準（GLIM基準）に含まれる項目である一方で、体液貯留の影響を最も受けやすいため、急性増悪時の評価に注意が必要な身体計測値はどれか?","1. 握力","2. BMI（体格指数）","3. 上腕筋周囲長","4. 下腿周囲長",2,"BMIは体液貯留の影響を強く受け、急性心不全増悪時には水分貯留により過大評価される可能性があるため、GLIM基準での評価にあたって注意が必要である。",""
Q47,"疾病管理・フレイル・併存症","問47. 心不全患者に合併する高カリウム血症の管理において、RAAS阻害薬（ARNI/ACE阻害薬/ARBおよびMRA）内服中の患者の血清カリウム値が 5.5 〜 6.5 mEq/Lの範囲である場合に考慮される管理戦略はどれか?","1. RAAS阻害薬を直ちに中止する。","2. RAAS阻害薬を減量または中止し、同時にカリウム吸着薬を中止する。","3. カリウム吸着薬の投与を考慮し、RAAS阻害薬の減量または中止を考慮する。","4. 高カリウム血症に対する適切な緊急治療を行う。",3,"血清K 5.5〜6.5 mEq/Lでは、カリウム吸着薬の使用を考慮しつつ、RAAS阻害薬の減量または中止を検討することが推奨される。",""
Q48,"疾病管理・フレイル・併存症","問48. 虚血性心筋症を合併した心不全患者（LVEF ≤ 35%）に対して、CABG（冠動脈バイパス術）と最適な内科的治療を比較したSTICH試験の10年フォローアップにおいて示された、CABGの最も重要な効果はどれか?","1. 心筋バイアビリティの改善","2. 心室性不整脈の頻度減少","3. 全死亡、心血管死、および心血管イベント入院による死亡の有意な減少","4. 左室駆出率の有意な改善",3,"STICH試験の10年フォローアップでは、CABG群は内科的治療単独群と比較して、全死亡、心血管死、心血管イベント入院による死亡を有意に減少させた。",""
Q49,"疾病管理・フレイル・併存症","問49. 心不全患者の地域連携において、多職種連携をシステム化し、心不全増悪による入院や死亡率の低下に有用であると定義されているケアモデルは何か?","1. ACP（アドバンス・ケア・プランニング）","2. SDH（健康の社会的決定要因）","3. 心不全管理プログラム（包括的心臓リハビリテーション）","4. BTD（Bridge to Decision）",3,"多職種チームによる教育、運動療法、薬物アドヒアランス支援などを含む心不全管理プログラム（包括的心臓リハビリテーション）は、再入院や死亡率を低下させるエビデンスがある。",""
Q50,"疾病管理・フレイル・併存症","問50. HFrEF患者に心房細動が併存し、薬物治療によるレートコントロールが困難な場合、両心室ペーシング率を100%に近づけるために考慮してもよい非薬物治療法はどれか?","1. 心房細動に対するカテーテルアブレーション単独","2. ICDの植込み","3. β遮断薬の増量","4. 房室結節アブレーションとCRTの併用",4,"心房細動合併HFrEFで薬物治療によるレートコントロールが困難な場合、房室結節アブレーションとCRTを併用することで両心室ペーシング率を100%に近づけることができる。",""
