"Q","テーマ","設問","選択肢1","選択肢2","選択肢3","選択肢4","正答","根拠となる知識","引用文献"
"Q11","PHの定義","2018年の第6回肺高血圧症ワールドシンポジウムの提言に基づき、2025年改訂版ガイドラインにおいて新たに採用された肺高血圧症（PH）の定義として正しいものはどれか？","1. 安静仰臥位でRHC検査により測定したmPAPが21 mmHg以上","2. 安静仰臥位でRHC検査により測定したmPAPが25 mmHg以上","3. 安静仰臥位でRHC検査により測定したmPAPが20 mmHg超","4. 運動時mPAP/COスロープが3 mmHg/L/分を超える","3","2025年改訂版ガイドラインでは、「RHC検査により測定した安静仰臥位のmPAP＞20 mmHg」をPHの定義とする。",""
"Q12","PHの分類","PHの臨床分類のうち、PVRが2 Wood単位を超え、前毛細血管性PHの成分も有する「混合性毛細血管性肺高血圧症（CpcPH）」に分類されるのはどの群か？","1. 第1群（PAH）","2. 第2群（LHDに伴うPH）","3. 第3群（慢性肺疾患に伴うPH）","4. 第4群（肺動脈の閉塞に伴うPH）","2","CpcPH（combined pre- and post-capillary pulmonary hypertension）は、PAWP＞15 mmHgでPVR＞2 Wood単位の患者であり、左心疾患に伴うPH（第2群）のサブ分類である,。",""
"Q13","PHの診断（RHC）","肺高血圧症の診断に必須な右心カテーテル検査（RHC）において、圧トランスデューサーのゼロ点校正として推奨される体表上の基準点はどこか？","1. 胸骨角","2. 第4肋間","3. 左房レベルとなる胸中部レベル","4. 大動脈弁レベル","3","RHC検査におけるゼロ点校正は、ほとんどの患者において左房レベルとなる胸中部レベル（mid-thoracic level）が推奨される。",""
"Q14","PHの診断（AVT）","特発性/遺伝性/薬物誘発性PAH患者に対して実施される血管反応性試験（AVT）における陽性反応の定義として、Sitbonの基準で「mPAPの減少が10 mmHg以上」に加えて満たすべき絶対値の基準はどれか？","1. mPAPが30 mmHg以下に達すること","2. mPAPが40 mmHg以下に達すること","3. PVRが2 Wood単位以下に達すること","4. PVRが3 Wood単位以下に達すること","2","血管反応性試験における陽性の定義は、mPAPが薬剤投与開始前から10 mmHg以上低下して絶対値が40 mmHg以下になり、COが増加もしくは変わらないことである。",""
"Q15","PAHの治療（Ca拮抗薬）","IPAH/HPAHの治療において、急性血管反応性試験が陽性であった場合に高用量Ca拮抗薬の長期投与で良好な予後が見込める可能性があるため、治療開始3～6ヵ月後に確認すべき項目はどれか？","1. 運動耐容能の悪化","2. 血行動態の再評価","3. BNP/NT-proBNPの再上昇","4. 心嚢液貯留の出現","2","高用量Ca拮抗薬投与開始3～6ヵ月後に血行動態をかならず再評価し、治療反応性が得られていない場合には、通常の治療戦略への移行が推奨される。",""
"Q16","PAHの治療（初期併用）","IPAH/HPAH/DPAH/SSc-PAHの診断時におけるリスク評価で低～中リスクの患者に対して推奨される初期併用療法はどれか？","1. ERA＋PDE5阻害薬","2. ERA＋sGC刺激薬","3. PDE5阻害薬＋PGI2受容体作動薬（経口）","4. ERA＋静注プロスタグランジン製剤","1","低～中リスクの患者に対してはエンドセリン受容体拮抗薬（ERA）およびPDE5阻害薬の2剤併用療法を行う。",""
"Q17","PAHの治療（アクチビンシグナル阻害薬）","従来の3系統（エンドセリン経路、NO経路、プロスタサイクリン経路）の薬剤に追加して使用が期待されている、アクチビンシグナル阻害薬の作用機序がターゲットとする経路はどれか？","1. PGI2経路","2. NO経路","3. エンドセリン経路","4. BMP-成長分化因子とTGF-β-アクチビンのシグナルバランス","4","アクチビンシグナル阻害薬（sotatercept）は、BMP-成長分化因子とTGF-β-アクチビンのシグナルバランスの欠如をターゲットとする。",""
"Q18","PAHの予後評価","PAH患者の診断時/フォローアップ時のリスク層別化指標のうち、WHO機能分類に加えて、血行動態指標として低リスクパラメータ（高リスクを回避すべき指標）としてJCSが提唱しているものはどれか？","1. mPAP $\le 40$ mmHg","2. PVR $\le 3$ Wood単位","3. PAWP $\le 15$ mmHg","4. dPAP $\le 10$ mmHg","1","JCSの提唱する診断時/フォローアップ時のリスク層別化指標において、WHO-FC I～II、6分間歩行距離＞440 m、RAP＜8 mmHg、CI $\ge 2.5$ L/分/m$^2$、mPAP $\le 40$ mmHgが低リスクパラメータとして含まれる。",""
"Q19","SSc-PAHの診断","全身性強皮症（SSc）患者における無症候性PAHの特定を目的としたDETECTアルゴリズムが推奨される、患者の罹病期間、FVC、およびDLCOの基準の組み合わせとして正しいものはどれか？","1. 罹病期間＞1年、FVC $\ge 70\%$、\%DLCO $<80\%$","2. 罹病期間＞3年、FVC $\ge 40\%$、\%DLCO $<60\%$","3. 罹病期間＞5年、FVC $\ge 50\%$、\%DLCO $<50\%$","4. 罹病期間＞1年、FVC $\ge 50\%$、\%DLCO $<70\%$","2","DETECTアルゴリズムの対象は、罹病期間が3年以上、FVC $\ge 40\%$、かつ％DLCO $<60\%$のSSc患者である,。",""
"Q20","non-SSc CTD-PAHの治療","SSc以外の膠原病に伴うPAH（non-SSc CTD-PAH）の治療において、基礎疾患の活動性が高い場合に肺血管拡張薬と併用が考慮される免疫抑制療法で、後ろ向き研究で用いられた治療法の組み合わせとして多いものはどれか？","1. メトトレキサートとTNF-$\alpha$阻害薬","2. グルココルチコイドとアザチオプリン","3. グルココルチコイドとシクロホスファミド","4. リツキシマブとタクロリムス","3","non-SSc CTD-PAHに対する免疫抑制療法として、中等量以上のグルココルチコイドとシクロホスファミド（CYC）の併用が後ろ向き研究で用いられた治療法として報告されている。",""
"Q21","PoPHの予後","門脈肺高血圧症（PoPH）の患者において、最も多い死因として報告されているものはどれか？","1. 右心不全","2. 喀血","3. 肝臓に関連した死亡","4. 肺移植後の合併症","3","日本のPoPH患者レジストリ（JAPHR）からの報告によると、死亡の約60%が肝臓に関連した死亡（肝細胞がん含む）であった。",""
"Q22","PoPHの治療","PoPHの治療において、他のPAHで推奨されている「初期多剤併用療法」を行うべきではない理由として、推奨クラスがIII Harmとなる根拠は何か？","1. 初期多剤併用療法の有用性のエビデンスが乏しいため","2. 肺水腫を起こす危険性が高いため","3. 門脈圧亢進症を悪化させる危険性があるため","4. 肝移植時のリスクを増大させるため","1","PoPH患者においては、初期多剤併用療法の有用性のエビデンスが乏しく、行うべきではない（推奨クラスIII Harm）とされている。",""
"Q23","ACHD-PAHの分類","成人先天性心疾患に伴うPAH（ACHD-PAH）の分類のうち、PVR上昇により右左シャントまたは双方向シャントへと進行し、欠損部の閉鎖が禁忌とされる病態はどれか？","1. 大きな体肺短絡を伴うPAH群（修復可能な群）","2. 小/偶発性欠損を伴うPAH","3. 欠損部修復後のPAH","4. アイゼンメンジャー症候群","4","アイゼンメンジャー症候群は、重篤なPVR上昇を伴い、右左または双方向シャントへと進行する病態であり、欠損部の閉鎖は禁忌である。",""
"Q24","薬物誘発性PAH","薬物・毒物誘発性のPAH発症に関与する薬物のうち、慢性骨髄性白血病などに用いられ、PAH発症に「確実な関連があるもの」として分類されているのはどれか？","1. ポナチニブ","2. ベバシズマブ","3. ダサチニブ","4. 青黛（せいたい）","3","チロシンキナーゼ阻害薬であるダサチニブは、PAH発症への確実な関連がある薬物に分類されている,。",""
"Q25","LHD-PHの分類","左心疾患に伴うPH（PH-LHD）において、PVRの上昇を伴う、前毛細血管性PHの成分も有する病態の定義として正しい組み合わせはどれか？","1. mPAP＞20 mmHg、PAWP $\le 15$ mmHg、PVR $\le 2$ Wood単位","2. mPAP＞20 mmHg、PAWP $\le 15$ mmHg、PVR $>2$ Wood単位","3. mPAP＞20 mmHg、PAWP $>15$ mmHg、PVR $>2$ Wood単位","4. mPAP＞20 mmHg、PAWP $>15$ mmHg、PVR $\le 2$ Wood単位","3","PVR上昇を伴うCpcPH（Combined pre- and post-capillary pulmonary hypertension）の定義は、mPAP＞20 mmHg、PAWP＞15 mmHg、PVR＞2 Wood単位である。",""
"Q26","LHD-PHの治療","PH-LHDの患者のうち、重度の前毛細血管成分が存在することを示唆し、PH専門施設での管理が望ましいとされるPVRの目安は、おおむね何 Wood単位以上か？","1. 2 Wood単位","2. 3 Wood単位","3. 5 Wood単位","4. 8 Wood単位","3","PVR＞5 Wood単位は、重度のpre-capillaryの要素を示しており、PH専門医との検討が必要である,。",""
"Q27","COPD-PHの予後","COPDに伴うPH（COPD-PH）において、mPAPにかかわらず最も強い独立した予後因子として、2022年改訂版ESC/ERSガイドラインで重症PHの診断基準にも用いられるようになったPVRの閾値はどれか？","1. PVR $\le 2$ Wood単位","2. PVR $\le 3$ Wood単位","3. PVR $>5$ Wood単位","4. PVR $>8$ Wood単位","3","COMPERAレジストリの報告により、COPD-PHにおいてPVR＞5 Wood単位が最も強い独立した予後因子であることが示され、重症PHの診断基準に用いられるようになった。",""
"Q28","ILD-PHの治療薬","特発性肺線維症（IPF）に伴うPH患者に対して、重篤な有害事象や死亡率の増加、臨床指標の改善欠如などから「使用すべきではない（クラスIII Harm）」と推奨されている肺血管拡張薬の組み合わせはどれか？","1. シルデナフィルとタダラフィル","2. ボセンタンとマシテンタン","3. アンブリセンタンとリオシグアト","4. エポプロステノールとトレプロスチニル","3","IPFに伴うPH患者に対してアンブリセンタンは使用すべきではなく（III Harm B）、IIPに伴うPH患者に対してリオシグアトは使用すべきではない（III Harm B）とされる,。",""
"Q29","ILD-PHの治療","ILDに伴うPH患者に対して、16週後の6分間歩行距離の有意な改善がRCTで示された治療法はどれか？","1. マシテンタン単剤療法","2. ボセンタンとPDE5阻害薬の併用療法","3. リオシグアト単剤療法","4. トレプロスチニル吸入療法","4","ILD-PH患者を対象としたRCTにおいて、トレプロスチニル吸入療法は16週後の6分間歩行距離を有意に改善した。",""
"Q30","CTEPHの診断（画像）","CTEPHの診断において、CT肺動脈造影（CTPA）よりも感度・特異度が高く、CTEPHを除外するツールとして有用な検査はどれか？","1. 肺血管造影（DSA）","2. 心臓MRI","3. 肺換気血流シンチグラフィ","4. 経胸壁心エコー図検査（TTE）","3","肺換気血流シンチグラフィは、CTEPHを除外するツールとして感度・特異度が高く、胸部造影CTより優れている,。",""
"Q31","CTEPHの診断（病理）","CTEPHの病理組織学的な特徴のうち、区域動脈レベル以下で器質化した血栓により線維性に閉塞した部分に再疎通血管が多くみられる像を指す言葉はどれか？","1. 叢状病変","2. 篩状病変（colander-like lesion）","3. 肺静脈閉塞性病変","4. 肺毛細血管腫様病変","2","区域動脈レベル以下では器質化した血栓により線維性に閉塞した部分に再疎通血管が多くみられる篩状病変（colander-like lesion）が特徴的である。",""
"Q32","CTEPHの治療（BPA）","BPAの治療成績について、PEAに匹敵する良好な結果が報告されている指標はどれか？","1. 30日死亡率","2. 5年生存率","3. 在宅酸素離脱率","4. 肺血行動態の正常化率","2","BPA治療後の1年、3年生存率はそれぞれ96.8%、94.5%と、PEA治療後の予後に匹敵する。",""
"Q33","CTEPHの治療（BPA）","BPA施行後の主な合併症である肺障害のリスクを低下させる可能性があるため、術前の治療で考慮される薬剤はどれか？","1. ノルエピネフリン","2. リオシグアト","3. エポプロステノール静注","4. ボセンタン","2","RACE試験のサブ解析でリオシグアト内服を先行した患者ではBPA施行時の重篤な合併症の発症率が低かったことが示されており、BPA前にリオシグアトを開始することが推奨される,。",""
"Q34","CTEPHの治療（抗凝固）","再灌流治療後のCTEPH患者に対するDOAC使用について、ワルファリンと比較したRCT（KABUKI試験）において、エドキサバンの有効性・安全性に関して示された知見は何か？","1. PVRの改善に関してエドキサバンは優越性を示した","2. PVRの改善に関してエドキサバンは非劣性を示した","3. 出血リスクに関してエドキサバンは有意に低かった","4. 血栓性イベントの発生率がワルファリンより高かった","2","KABUKI試験では、主要評価項目である48週後のPVRの変化（比）について、エドキサバンのワルファリンに対する非劣性が示された。",""
"Q35","第4群PH（肉腫）","肺動脈に生じる肉腫のうち、内膜から生じ、内腔に発育する病変を呈するため急性/慢性の血栓塞栓症と誤認されやすい腫瘍はどれか？","1. 扁平上皮癌","2. 肺胞細胞癌","3. 内膜肉腫","4. 悪性黒色腫","3","肺動脈に生じる肉腫のほとんどは内膜から生じ、内腔に発育する内膜肉腫を呈するため、血栓塞栓症と誤認されやすい。",""
"Q36","第5群PH（PTTM）","肺腫瘍血栓性微小血管症（PTTM）の診断において、肺小細動脈の腫瘍塞栓とそれに伴うPHを疑う際のCTにおける特徴的な画像所見はどれか？","1. 胸膜直下の蜂巣肺","2. 小葉中心性のすりガラス陰影","3. 肺動脈/大動脈径比の低下","4. 区域性の血流欠損","2","PTTMの特徴的な画像所見として、CTにおけるすりガラス陰影、縦隔および肺門部リンパ節腫脹、小葉間隔壁の肥厚を呈することが挙げられる。",""
"Q37","小児PHの遺伝子","小児の特発性/遺伝性PAHにおいて、成人PAHよりも保有率が高いことが報告されている遺伝子変異はどれか？","1. BMPR2","2. EIF2AK4","3. ALK-1とTBX4","4. RNF213","3","BMPR2変異が最も多いが、ACVRL1（ALK-1）とTBX4の変異が多いことは小児PHの特徴である,。",""
"Q38","小児PHの治療","小児のIPAH/HPAHの治療薬のうち、高用量（＞3 mg/kg/日）では潜在的な死亡リスク増加の可能性が報告されているため、用量に注意すべき薬剤はどれか？","1. ボセンタン","2. シルデナフィル","3. エポプロステノール","4. セレキシパグ","2","シルデナフィルは、高用量（＞3 mg/kg/日）では潜在的な死亡リスク増加の可能性が報告されているため、用量に注意すべきである。",""
"Q39","LHD-PHの診断（負荷試験）","安静時のPAWPが13～15 mmHgの境界域である患者の誤分類を防ぐため、RHC検査中に負荷試験が推奨されている。この負荷試験として適切でないものはどれか？","1. 運動負荷試験","2. 輸液負荷試験","3. 受動的な下肢挙上","4. 急性血管反応性試験（AVT）","4","PAWP 13～15 mmHgの境界域においては、運動負荷や輸液負荷などの誘発試験を行うことが推奨される。AVTはI/H/DPAHのCa拮抗薬長期反応例の検出目的であり、LHD-PHの鑑別には推奨されない,。",""
"Q40","DVTの診断（Wells DVT Score）","深部静脈血栓症（DVT）の診断におけるWellsスコア（DVT用）において、DVT以外の可能性がDVTと同じくらい高い場合に減点される点数はどれか？","1. -1点","2. -2点","3. 1点","4. 3点","2","DVTと同じくらい可能性のある他の診断がある場合、-2点となる。",""
"Q41","VTEの治療（DOAC初期強化療法）","VTE急性期治療において、ヘパリンなどの非経口抗凝固薬を先行させず、経口抗凝固薬のみ（シングルドラッグアプローチ）で治療を開始することが可能なDOACの組み合わせはどれか？","1. エドキサバンとリバーロキサバン","2. リバーロキサバンとアピキサバン","3. アピキサバンとエドキサバン","4. エドキサバンとダビガトラン","2","リバーロキサバンとアピキサバンは、初期の高用量投与による初期強化療法の後に維持量を継続する投与法であり、経口抗凝固薬のみで治療を開始することが可能である。",""
"Q42","VTEの治療期間","VTE再発リスクの分類において、がん以外の持続性の誘因（活動性のある膠原病、潰瘍性大腸炎、抗リン脂質抗体症候群など）によるVTEに対し、出血リスクが高くない場合に考慮される抗凝固療法の投与期間はどれか？","1. 3ヵ月間","2. 6ヵ月間","3. 12ヵ月間","4. 可及的長期","4","持続性の誘因によるVTEに対しては、可及的長期の抗凝固療法が考慮される。",""
"Q43","VTEの予防（内科）","脳卒中急性期患者で、移動能力が低下している患者（自立でトイレ歩行が不可）に対して、VTE予防のために推奨される理学的予防法はどれか？","1. 早期離床","2. 弾性ストッキング","3. 間欠的空気圧迫法","4. 低用量未分画ヘパリン","3","移動能力が低下した急性期脳卒中患者に対し、間欠的空気圧迫法（IPC）の施行が推奨されている,。",""
"Q44","PHの診断（心エコー）","PHを示唆する心エコー図所見のうち、「心室」カテゴリーでPHを疑う所見として用いられる指標はどれか？","1. 三尖弁逆流速度（TRV）のピーク速度","2. 右室流出路通過血流波形（RVOT）の加速時間（AT） $\le 105$ ms","3. 左室駆出率（LVEF）","4. TAPSEと推定sPAPの比が $0.55$ mm/mmHg未満","4","「心室」カテゴリーでPHを疑う所見として、TAPSEと推定sPAPの比が$0.55$ mm/mmHg未満であることが挙げられる,。",""
"Q45","PAHの治療（支持療法）","PAH患者における支持療法の検討事項として、貧血の有無にかかわらず自覚症状の悪化や死亡リスクの増加と関連していることが報告されており、少なくとも貧血を伴う場合に補充が推奨される栄養素はどれか？","1. ビタミンD","2. 鉄","3. ビタミンB12","4. カルシウム","2","IPAHでは鉄欠乏症の合併率が高く、貧血の有無にかかわらず予後不良と関連しており、少なくとも貧血を伴う場合は鉄補充が推奨される,。",""
"Q46","CTEPHの治療（PEA）","CTEPHに対する肺動脈血栓内膜摘除術（PEA）の遠隔成績において、遠隔期死亡の危険因子として報告されているものはどれか？","1. 低PVR","2. WHO機能分類 I/II度","3. 術後遺残PH","4. 低心係数（CI）","3","PEA術後の遠隔期死亡の危険因子は、術後遺残PHや術前WHO機能分類 IV度があげられる。",""
"Q47","PAHの治療（PGI2製剤）","PAHの重症例に用いられるプロスタサイクリン製剤のうち、持続静脈内投与または持続皮下投与が用いられる製剤はどれか？","1. セレキシパグ（経口）","2. ベラプロストナトリウム（経口）","3. イロプロスト（吸入）","4. エポプロステノール（静注）","4","エポプロステノール（静脈内投与）とトレプロスチニル（皮下または静脈内投与）が持続投与されるプロスタサイクリン類似体である,。",""
"Q48","PHの分類（第5群）","詳細不明および/または多因子のメカニズムに伴うPH（第5群）に含まれる疾患で、肺小細動脈の腫瘍塞栓および閉塞性線維内膜リモデリングを特徴とする劇症疾患はどれか？","1. 肺静脈閉塞性疾患（PVOD）","2. 肺毛細血管腫症（PCH）","3. 肺腫瘍血栓性微小血管症（PTTM）","4. 線維性縦隔炎","3","PTTM（肺腫瘍血栓性微小血管症）は、肺小細動脈の腫瘍塞栓と閉塞性線維内膜リモデリングを特徴とする劇症疾患であり、第5群に明記されている,。",""
"Q49","PVOD/PCHの診断","肺静脈閉塞性疾患/肺毛細血管腫症（PVOD/PCH）の臨床診断基準のうち、特に診断に有用とされる肺機能検査の指標はどれか？","1. ％肺活量（％VC）","2. 1秒量（FEV1）","3. ％DLCOの著明な低下（＜55%）","4. ％DLCO/％VC比","3","PVOD/PCHの臨床診断基準の副次的項目として、肺拡散能の著明な低下（\%DLCO＜55%）が挙げられる。",""
"Q50","PAHの治療目標","IPAH/HPAHのフォローアップにおいて、低リスクの安定的な状態に至った場合に、血行動態評価を含むカテーテル検査の間隔を開けることが可能となるが、一般的に推奨される非侵襲的リスク評価の定期的な間隔はどれか？","1. 3～4ヵ月ごと","2. 6ヵ月ごと","3. 1年ごと","4. 2年ごと","2","低リスクで安定的な状態に至った場合には、6ヵ月～1年ごとの非侵襲的なリスク評価を行う場合が多い。",""
